# Wayback Machine CDX index: medicarestatistics.humanservices.gov.au/SASStoredProcess/* , captures from 2025
# Query (retrieved 2026-09-25): https://web.archive.org/cdx/search/cdx?url=medicarestatistics.humanservices.gov.au/SASStoredProcess/&matchType=prefix&from=2025&fl=timestamp,statuscode,mimetype,original
# Note: no capture in this list has status 200 - every archived call ends in a redirect (302) or revisit (-).
# Columns: timestamp(UTC) status mimetype original-url
20250404063433 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do
20251105152441 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do
20251112172513 - warc/revisit https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do
20251118072953 - warc/revisit https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do
20251125051024 - warc/revisit https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do
20251112172546 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do?_PROGRAM=VEA0032/SAS.StoredProcess/std_btos_map&start_dt=0&end_dt=0
20251118073054 - warc/revisit https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do?_PROGRAM=VEA0032/SAS.StoredProcess/std_btos_map&start_dt=0&end_dt=0
20251125051122 - warc/revisit https://medicarestatistics.humanservices.gov.au/SASStoredProcess/do?_PROGRAM=VEA0032/SAS.StoredProcess/std_btos_map&start_dt=0&end_dt=0
20250327003557 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest
20251119125915 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest
20251211172001 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%25
20251212000052 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%25
20251212015041 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%25
20251119125857 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FS
20251119130035 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FS
20251211174452 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared
20251211174559 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared
